State,Number of CoCs,Overall Homeless ,Sheltered ES Homeless ,Sheltered TH Homeless ,Sheltered SH Homeless ,Sheltered Total Homeless ,Unsheltered Homeless ,Homeless Individuals ,Sheltered ES Homeless Individuals ,Sheltered TH Homeless Individuals ,Sheltered SH Homeless Individuals ,Sheltered Total Homeless Individuals ,Unsheltered Homeless Individuals ,Homeless People in Families ,Sheltered ES Homeless People in Families ,Sheltered TH Homeless People in Families ,Sheltered Total Homeless People in Families ,Unsheltered Homeless People in Families ,Homeless Family Households ,Sheltered ES Homeless Family Households ,Sheltered TH Homeless Family Households ,Sheltered Total Homeless Family Households ,Unsheltered Homeless Family Households ,Chronically Homeless ,Sheltered ES Chronically Homeless ,Sheltered SH Chronically Homeless ,Sheltered Total Chronically Homeless ,Unsheltered Chronically Homeless ,Chronically Homeless Individuals ,Sheltered ES Chronically Homeless Individuals ,Sheltered SH Chronically Homeless Individuals ,Sheltered Total Chronically Homeless Individuals ,Unsheltered Chronically Homeless Individuals ,Chronically Homeless People in Families ,Sheltered ES Chronically Homeless People in Families ,Sheltered Total Chronically Homeless People in Families ,Unsheltered Chronically Homeless People in Families ,Homeless Veterans ,Sheltered ES Homeless Veterans ,Sheltered TH Homeless Veterans ,Sheltered SH Homeless Veterans ,Sheltered Total Homeless Veterans ,Unsheltered Homeless Veterans ,Homeless Unaccompanied Youth (Under 25) ,Sheltered ES Homeless Unaccompanied Youth (Under 25) ,Sheltered TH Homeless Unaccompanied Youth (Under 25) ,Sheltered SH Homeless Unaccompanied Youth (Under 25) ,Sheltered Total Homeless Unaccompanied Youth (Under 25) ,Unsheltered Homeless Unaccompanied Youth (Under 25) ,Homeless Unaccompanied Youth Under 18 ,Sheltered ES Homeless Unaccompanied Youth Under 18 ,Sheltered TH Homeless Unaccompanied Youth Under 18 ,Sheltered SH Homeless Unaccompanied Youth Under 18 ,Sheltered Total Homeless Unaccompanied Youth Under 18 ,Unsheltered Homeless Unaccompanied Youth Under 18 ,Homeless Unaccompanied Youth Age 18-24 ,Sheltered ES Homeless Unaccompanied Youth Age 18-24 ,Sheltered TH Homeless Unaccompanied Youth Age 18-24 ,Sheltered SH Homeless Unaccompanied Youth Age 18-24 ,Sheltered Total Homeless Unaccompanied Youth Age 18-24 ,Unsheltered Homeless Unaccompanied Youth Age 18-24 ,Homeless Parenting Youth (Under 25) ,Sheltered ES Homeless Parenting Youth (Under 25) ,Sheltered TH Homeless Parenting Youth (Under 25) ,Sheltered Total Homeless Parenting Youth (Under 25) ,Unsheltered Homeless Parenting Youth (Under 25) ,Homeless Parenting Youth Under 18 ,Sheltered ES Homeless Parenting Youth Under 18 ,Sheltered TH Homeless Parenting Youth Under 18 ,Sheltered Total Homeless Parenting Youth Under 18 ,Unsheltered Homeless Parenting Youth Under 18 ,Homeless Parenting Youth Age 18-24 ,Sheltered ES Homeless Parenting Youth Age 18-24 ,Sheltered TH Homeless Parenting Youth Age 18-24 ,Sheltered Total Homeless Parenting Youth Age 18-24 ,Unsheltered Homeless Parenting Youth Age 18-24 ,Homeless Children of Parenting Youth ,Sheltered ES Homeless Children of Parenting Youth ,Sheltered TH Homeless Children of Parenting Youth ,Sheltered Total Homeless Children of Parenting Youth ,Unsheltered Homeless Children of Parenting Youth 
WA,7,"22,878","6,043","10,391",55,"16,489","6,389","11,901","3,883","2,767",55,"6,705","5,196","10,977","2,160","7,624","9,784","1,193","3,388",661,"2,362","3,023",365,55,"2,106","1,226",55,"1,281",825,"2,043","1,282",761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI,4,"6,333","2,680","2,560",13,"5,253","1,080","3,040","1,542","1,043",13,"2,598",442,"3,293","1,138","1,517","2,655",638,"1,080",372,484,856,224,13,727,595,13,608,119,609,581,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,4,"2,264",908,606,10,"1,524",740,"1,527",626,412,10,"1,048",479,737,282,194,476,261,245,109,60,169,76,7,516,351,7,358,158,576,393,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WY,1,579,264,251,0,515,64,327,220,49,0,269,58,252,44,202,246,6,90,15,73,88,2,0,101,52,0,52,49,85,71,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,2,"2,128","1,035",725,0,"1,760",368,"1,286",703,339,0,"1,042",244,842,332,386,718,124,277,124,116,240,37,253,194,0,194,59,226,169,0,169,57,27,25,25,2,288,236,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,8,"5,558","1,615","2,100",34,"3,749","1,809","4,325","1,219","1,529",34,"2,782","1,543","1,233",396,571,967,266,434,134,194,328,106,"1,114",384,34,418,696,"1,046",362,34,396,650,68,22,22,46,659,387,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,7,"3,424","1,018",784,0,"1,802","1,622","2,505",762,558,0,"1,320","1,185",919,256,226,482,437,349,104,83,187,162,607,328,0,328,279,500,267,0,267,233,107,61,61,46,411,268,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,3,"10,504","3,571","3,691",40,"7,302","3,202","6,403","2,245","1,399",40,"3,684","2,719","4,101","1,326","2,292","3,618",483,"1,239",406,713,"1,119",120,"2,283",988,40,"1,028","1,255","1,939",698,40,738,"1,201",344,290,290,54,"1,528","1,018",510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,42,"125,128","26,282","24,220",189,"50,691","74,437","97,964","15,920","12,919",189,"29,028","68,936","27,164","10,362","11,301","21,663","5,501","9,021","3,543","3,750","7,293","1,728","34,589","6,940",99,"7,039","27,550","30,807","5,727",99,"5,826","24,981","3,782","1,213","1,213","2,569","16,783","6,689","10,094",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,3,"15,116","2,979","3,142",25,"6,146","8,970","4,546","1,802",824,25,"2,651","1,895","10,570","1,177","2,318","3,495","7,075","2,935",423,731,"1,154","1,781","1,495",524,25,549,946,"1,288",351,25,376,912,207,173,173,34,"2,074","1,381",693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,7,"4,456","2,358","1,403",0,"3,761",695,"3,071","1,622",795,0,"2,417",654,"1,385",736,608,"1,344",41,482,259,206,465,17,"1,099",769,0,769,330,"1,043",713,0,713,330,56,56,56,0,443,396,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,1,"6,546","3,641","2,600",0,"6,241",305,"3,858","2,636",917,0,"3,553",305,"2,688","1,005","1,683","2,688",0,858,326,532,858,0,"2,509","2,234",0,"2,234",275,"2,093","1,818",0,"1,818",275,416,416,416,0,515,490,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,1,"1,035",549,454,10,"1,013",22,663,375,256,10,641,22,372,174,198,372,0,116,54,62,116,0,70,53,6,59,11,70,53,6,59,11,0,0,0,0,55,53,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,28,"56,687","9,641","11,032",151,"20,824","35,863","37,584","6,849","6,934",151,"13,934","23,650","19,103","2,792","4,098","6,890","12,213","6,483","1,001","1,324","2,325","4,158","11,638","3,437",140,"3,577","8,061","10,263","3,055",140,"3,195","7,068","1,375",382,382,993,"5,644","2,276","3,368",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,7,"20,975","4,483","4,240",0,"8,723","12,252","15,975","3,301","2,087",0,"5,388","10,587","5,000","1,182","2,153","3,335","1,665","1,661",410,722,"1,132",529,"4,581","2,112",0,"2,112","2,469","3,879","1,841",0,"1,841","2,038",702,271,271,431,"2,243","1,025","1,218",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GU,1,"1,745",67,137,0,204,"1,541",279,10,26,0,36,243,"1,466",57,111,168,"1,298",250,14,25,39,211,370,0,0,0,370,25,0,0,0,25,345,0,0,345,33,7,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,2,"6,188","1,076","2,531",25,"3,632","2,556","3,195",527,525,25,"1,077","2,118","2,993",549,"2,006","2,555",438,775,150,500,650,125,935,97,19,116,819,904,92,19,111,793,31,5,5,26,505,210,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,3,"3,134","1,179","1,834",0,"3,013",121,"1,628",765,753,0,"1,518",110,"1,506",414,"1,081","1,495",11,472,130,337,467,5,351,284,0,284,67,315,248,0,248,67,36,36,36,0,267,255,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,2,"2,199",797,788,0,"1,585",614,"1,310",548,293,0,841,469,889,249,495,744,145,297,92,164,256,41,308,149,0,149,159,236,129,0,129,107,72,20,20,52,250,169,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,20,"14,009","4,957","6,040",92,"11,089","2,920","8,173","3,591","2,009",92,"5,692","2,481","5,836","1,366","4,031","5,397",439,"1,957",461,"1,343","1,804",153,"2,563","1,405",78,"1,483","1,080","2,400","1,315",78,"1,393","1,007",163,90,90,73,"1,081",765,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,3,"6,196","2,734","2,795",21,"5,550",646,"3,789","1,776","1,459",21,"3,256",533,"2,407",958,"1,336","2,294",113,758,310,409,719,39,602,425,0,425,177,602,425,0,425,177,0,0,0,0,714,638,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,5,"2,511","1,348",860,14,"2,222",289,"1,425",756,430,14,"1,200",225,"1,086",592,430,"1,022",64,328,180,129,309,19,338,245,7,252,86,280,198,7,205,75,58,47,47,11,384,342,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,3,"6,034","2,496","2,675",12,"5,183",851,"3,842","1,795","1,363",12,"3,170",672,"2,192",701,"1,312","2,013",179,731,223,455,678,53,784,572,5,577,207,659,503,5,508,151,125,69,69,56,636,579,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,9,"9,291","1,223","2,133",49,"3,405","5,886","7,941",947,"1,201",49,"2,197","5,744","1,350",276,932,"1,208",142,469,91,333,424,45,"4,433",154,11,165,"4,268","4,352",147,11,158,"4,194",81,7,7,74,950,443,507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,20,"16,664","11,589","4,333",39,"15,961",703,"6,344","3,102","2,531",39,"5,672",672,"10,320","8,487","1,802","10,289",31,"3,531","2,803",718,"3,521",10,"2,061","1,689",22,"1,711",350,"1,666","1,297",22,"1,319",347,395,392,392,3,"1,268","1,210",58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,16,"10,208","3,606","2,831",59,"6,496","3,712","6,353","2,429","1,469",59,"3,957","2,396","3,855","1,177","1,362","2,539","1,316","1,338",389,440,829,509,"1,800",862,36,898,902,"1,627",767,36,803,824,173,95,95,78,696,577,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,3,"2,447",904,"1,499",15,"2,418",29,"1,184",611,531,15,"1,157",27,"1,263",293,968,"1,261",2,427,101,325,426,1,212,187,15,202,10,212,187,15,202,10,0,0,0,0,127,121,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,21,"13,185","5,412","5,416",36,"10,864","2,321","7,634","3,492","2,193",36,"5,721","1,913","5,551","1,920","3,223","5,143",408,"1,825",647,"1,042","1,689",136,"1,764","1,235",23,"1,258",506,"1,611","1,119",23,"1,142",469,153,116,116,37,959,755,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,10,"7,495","3,504","3,049",14,"6,567",928,"3,410","1,783",921,14,"2,718",692,"4,085","1,721","2,128","3,849",236,"1,265",473,716,"1,189",76,"1,862","1,504",14,"1,518",344,"1,211",941,14,955,256,651,563,563,88,449,371,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,8,"8,989","3,523","3,147",48,"6,718","2,271","4,657","1,830","1,385",48,"3,263","1,394","4,332","1,693","1,762","3,455",877,"1,330",546,513,"1,059",271,"1,418",884,45,929,489,"1,156",747,45,792,364,262,137,137,125,852,627,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MP,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,3,"2,306",429,625,2,"1,056","1,250","1,825",273,459,2,734,"1,091",481,156,166,322,159,141,46,47,93,48,471,134,1,135,336,438,125,1,126,312,33,9,9,24,205,114,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,1,"1,768",708,508,0,"1,216",552,"1,094",387,249,0,636,458,674,321,259,580,94,222,99,93,192,30,324,149,0,149,175,203,76,0,76,127,121,73,73,48,251,135,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,12,"12,896","5,175","4,070",0,"9,245","3,651","8,303","3,659","2,376",0,"6,035","2,268","4,593","1,516","1,694","3,210","1,383","1,460",500,558,"1,058",402,"1,476",916,0,916,560,"1,365",845,0,845,520,111,71,71,40,"1,248",941,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,1,603,415,145,0,560,43,396,283,83,0,366,30,207,132,62,194,13,60,33,22,55,5,75,69,0,69,6,67,63,0,63,4,8,6,6,2,124,121,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,3,"3,548","1,623","1,418",0,"3,041",507,"2,210","1,166",706,0,"1,872",338,"1,338",457,712,"1,169",169,433,163,213,376,57,502,409,0,409,93,445,361,0,361,84,57,48,48,9,310,253,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,3,"1,469",582,569,8,"1,159",310,820,419,204,8,631,189,649,163,365,528,121,243,71,132,203,40,226,143,5,148,78,166,88,5,93,73,60,55,55,5,126,118,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,19,"14,137","8,110","4,700",20,"12,830","1,307","6,841","4,407","1,533",20,"5,960",881,"7,296","3,703","3,167","6,870",426,"2,556","1,322","1,096","2,418",138,955,788,0,788,167,750,610,0,610,140,205,178,178,27,811,668,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,2,"3,601","1,693","1,060",0,"2,753",848,"2,246","1,238",343,0,"1,581",665,"1,355",455,717,"1,172",183,430,145,226,371,59,"1,117",658,0,658,459,971,564,0,564,407,146,94,94,52,364,221,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,3,"9,150","1,436","3,084",25,"4,545","4,605","7,973","1,140","2,238",25,"3,403","4,570","1,177",296,846,"1,142",35,381,94,274,368,13,"1,353",193,3,196,"1,157","1,342",184,3,187,"1,155",11,9,9,2,"1,240",692,548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,32,"63,445","49,471","10,179",128,"59,778","3,667","27,338","17,222","6,492",128,"23,842","3,496","36,107","32,249","3,687","35,936",171,"11,988","10,698","1,234","11,932",56,"4,208","1,944",126,"2,070","2,138","3,840","1,629",126,"1,755","2,085",368,315,315,53,"5,765","5,246",519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,9,"13,030","5,997","5,134",93,"11,224","1,806","7,812","4,049","2,187",93,"6,329","1,483","5,218","1,948","2,947","4,895",323,"1,683",638,944,"1,582",101,"2,014","1,307",75,"1,382",632,"1,881","1,213",75,"1,288",593,133,94,94,39,"1,279","1,083",196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,8,"4,625","2,062",867,59,"2,988","1,637","3,236","1,554",457,59,"2,070","1,166","1,389",508,410,918,471,469,176,135,311,158,793,399,19,418,375,568,288,19,307,261,225,111,111,114,356,301,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,7,"17,254","2,555","4,418",39,"7,012","10,242","9,445","1,577","1,633",39,"3,249","6,196","7,809",978,"2,785","3,763","4,046","2,623",327,915,"1,242","1,381","3,739",877,39,916,"2,823","3,017",665,39,704,"2,313",722,212,212,510,"1,474",655,819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,18,"15,096","7,387","6,484",165,"14,036","1,060","7,867","4,504","2,203",165,"6,872",995,"7,229","2,883","4,281","7,164",65,"2,396",950,"1,423","2,373",23,"1,719",995,144,"1,139",580,"1,508",794,144,938,570,211,201,201,10,"1,392","1,262",130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR,2,"2,900",330,667,37,"1,034","1,866","2,346",241,518,37,796,"1,550",554,89,149,238,316,261,38,73,111,150,"3,564",533,31,564,"3,000","1,647",218,31,249,"1,398","1,917",315,315,"1,602",137,50,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI,1,"1,070",680,338,21,"1,039",31,652,485,115,21,621,31,418,195,223,418,0,137,62,75,137,0,176,157,14,171,5,176,157,14,171,5,0,0,0,0,123,121,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,4,"5,093","1,554","1,388",12,"2,954","2,139","3,505","1,210",745,12,"1,967","1,538","1,588",344,643,987,601,527,125,222,347,180,645,219,12,231,414,504,217,12,229,275,141,2,2,139,612,389,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,1,826,371,391,0,762,64,460,218,195,0,413,47,366,153,196,349,17,123,52,67,119,4,34,21,0,21,13,34,21,0,21,13,0,0,0,0,109,99,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN,10,"9,113","3,007","2,888",20,"5,915","3,198","6,475","2,322","1,896",20,"4,238","2,237","2,638",685,992,"1,677",961,910,216,323,539,371,"1,757",886,18,904,853,"1,661",810,18,828,833,96,76,76,20,965,732,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,16,"36,911","10,027","8,788",157,"18,972","17,939","23,577","6,226","4,024",157,"10,407","13,170","13,334","3,801","4,764","8,565","4,769","4,357","1,418","1,488","2,906","1,451","8,223","3,192",61,"3,253","4,970","7,390","2,634",61,"2,695","4,695",833,558,558,275,"4,891","2,365","2,526",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT,3,"3,130","1,506","1,133",48,"2,687",443,"1,842",948,438,48,"1,434",408,"1,288",558,695,"1,253",35,389,166,215,381,8,383,236,48,284,99,364,217,48,265,99,19,19,19,0,345,310,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,20,"8,816","4,395","2,928",63,"7,386","1,430","5,231","2,926","1,028",63,"4,017","1,214","3,585","1,469","1,900","3,369",216,"1,145",477,607,"1,084",61,"1,643",986,43,"1,029",614,"1,571",930,43,973,598,72,56,56,16,931,768,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VI,1,532,37,117,0,154,378,450,13,59,0,72,378,82,24,58,82,0,22,7,15,22,0,195,4,0,4,191,195,4,0,4,191,0,0,0,0,32,0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT,2,"1,144",579,438,4,"1,021",123,637,340,189,4,533,104,507,239,249,488,19,156,75,75,150,6,114,87,0,87,27,94,67,0,67,27,20,20,20,0,81,75,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,7,"20,439","6,047","8,976",52,"15,075","5,364","10,868","3,934","2,232",52,"6,218","4,650","9,571","2,113","6,744","8,857",714,"3,040",658,"2,182","2,840",200,"2,388","1,261",52,"1,313","1,075","2,136","1,159",52,"1,211",925,252,102,102,150,"1,478","1,167",311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI,4,"5,785","2,644","2,650",61,"5,355",430,"2,838","1,520",923,61,"2,504",334,"2,947","1,124","1,727","2,851",96,994,358,607,965,29,497,405,20,425,72,410,327,20,347,63,87,78,78,9,607,584,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,4,"2,211",923,471,11,"1,405",806,"1,662",696,285,11,992,670,549,227,186,413,136,207,85,71,156,51,299,184,5,189,110,287,174,5,179,108,12,10,10,2,302,236,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WY,1,"1,038",127,68,0,195,843,320,79,48,0,127,193,718,48,20,68,650,223,22,7,29,194,104,27,0,27,77,82,27,0,27,55,22,0,0,22,83,39,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,2,"1,913","1,139",577,0,"1,716",197,"1,298",849,308,0,"1,157",141,615,290,269,559,56,216,92,102,194,22,279,263,0,263,16,273,257,0,257,16,6,6,6,0,256,227,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,8,"5,209","1,663","1,969",32,"3,664","1,545","3,825","1,158","1,383",32,"2,573","1,252","1,384",505,586,"1,091",293,497,182,201,383,114,969,321,32,353,616,910,299,32,331,579,59,22,22,37,526,377,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,6,"4,214",886,716,0,"1,602","2,612","3,428",707,484,0,"1,191","2,237",786,179,232,411,375,266,65,69,134,132,437,171,0,171,266,361,142,0,142,219,76,29,29,47,362,205,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,3,"11,302","4,291","3,884",40,"8,215","3,087","6,310","2,507","1,239",40,"3,786","2,524","4,992","1,784","2,645","4,429",563,"1,465",569,758,"1,327",138,"1,895",581,34,615,"1,280","1,605",355,34,389,"1,216",290,226,226,64,"1,478","1,007",471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,42,"120,098","22,200","23,530",160,"45,890","74,208","94,888","14,608","11,726",160,"26,494","68,394","25,210","7,592","11,804","19,396","5,814","8,076","2,410","3,780","6,190","1,886","33,356","5,337",121,"5,458","27,898","30,189","4,791",121,"4,912","25,277","3,167",546,546,"2,621","14,611","4,512","10,099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,3,"16,768","3,502","3,733",25,"7,260","9,508","5,101","1,892",930,25,"2,847","2,254","11,667","1,610","2,803","4,413","7,254","3,104",457,825,"1,282","1,822","1,943",759,25,784,"1,159","1,612",468,25,493,"1,119",331,291,291,40,"1,512",800,712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,7,"4,209","2,271","1,243",0,"3,514",695,"2,906","1,577",675,0,"2,252",654,"1,303",694,568,"1,262",41,449,239,193,432,17,944,614,0,614,330,924,594,0,594,330,20,20,20,0,332,285,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,1,"6,954","3,772","2,503",0,"6,275",679,"3,767","2,166",922,0,"3,088",679,"3,187","1,606","1,581","3,187",0,"1,014",511,503,"1,014",0,"2,315","1,773",0,"1,773",542,"1,870","1,328",0,"1,328",542,445,445,445,0,531,466,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,1,"1,008",527,449,10,986,22,611,364,215,10,589,22,397,163,234,397,0,128,49,79,128,0,100,82,7,89,11,84,66,7,73,11,16,16,16,0,66,64,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,28,"55,170","9,388","10,289",155,"19,832","35,338","36,771","6,435","6,211",155,"12,801","23,970","18,399","2,953","4,078","7,031","11,368","6,333",977,"1,361","2,338","3,995","10,054","2,277",129,"2,406","7,648","8,682","2,003",129,"2,132","6,550","1,372",274,274,"1,098","5,331","2,201","3,130",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,7,"20,516","4,291","4,007",22,"8,320","12,196","15,363","2,978","1,816",22,"4,816","10,547","5,153","1,313","2,191","3,504","1,649","1,779",498,757,"1,255",524,"3,843","1,420",6,"1,426","2,417","3,016","1,024",6,"1,030","1,986",827,396,396,431,"2,297","1,094","1,203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GU,1,"1,301",66,121,0,187,"1,114",255,26,39,0,65,190,"1,046",40,82,122,924,165,10,19,29,136,226,0,0,0,226,22,0,0,0,22,204,0,0,204,31,6,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,2,"6,246","1,141","2,560",25,"3,726","2,520","3,130",513,537,25,"1,075","2,055","3,116",628,"2,023","2,651",465,792,183,498,681,111,949,129,17,146,803,910,111,17,128,782,39,18,18,21,507,230,277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,3,"2,928","1,164","1,616",0,"2,780",148,"1,446",756,546,0,"1,302",144,"1,482",408,"1,070","1,478",4,466,132,333,465,1,307,218,0,218,89,270,181,0,181,89,37,37,37,0,217,205,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,2,"1,968",770,712,0,"1,482",486,"1,175",517,270,0,787,388,793,253,442,695,98,246,74,142,216,30,252,111,0,111,141,200,90,0,90,110,52,21,21,31,260,184,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,20,"14,144","4,828","6,229",92,"11,149","2,995","8,269","3,617","2,099",92,"5,808","2,461","5,875","1,211","4,130","5,341",534,"1,905",413,"1,323","1,736",169,"2,206","1,080",64,"1,144","1,062","2,079","1,022",64,"1,086",993,127,58,58,69,"1,147",813,334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,3,"6,259","2,934","2,411",25,"5,370",889,"3,316","1,555","1,081",25,"2,661",655,"2,943","1,379","1,330","2,709",234,955,421,443,864,91,545,344,25,369,176,461,260,25,285,176,84,84,84,0,687,547,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,5,"2,684","1,317","1,016",17,"2,350",334,"1,526",875,373,17,"1,265",261,"1,158",442,643,"1,085",73,346,137,188,325,21,371,262,13,275,96,307,205,13,218,89,64,57,57,7,373,329,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,3,"5,230","2,132","2,177",10,"4,319",911,"3,282","1,555",990,10,"2,555",727,"1,948",577,"1,187","1,764",184,667,203,410,613,54,629,422,1,423,206,497,346,1,347,150,132,76,76,56,440,369,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,9,"7,772","1,375","2,397",35,"3,807","3,965","6,322","1,132","1,271",35,"2,438","3,884","1,450",243,"1,126","1,369",81,474,83,360,443,31,"2,893",335,17,352,"2,541","2,743",263,17,280,"2,463",150,72,72,78,899,450,449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
